@relation comentarios_base
@attribute comment string
@attribute classificador {positivo, negativo, neutro}
@data
"infelizmente querido brasil pode ser presidente semianalfabeto denunciado reu varios processos condenados prisao pode cidadaos honestos trabalhadores sustentam atraves milhares impostos politicos imorais etica desonestos marginais", neutro
"brasil pode nobre senador qualquer pais serio impossivel esquece senhor luladrao deu muitas migalhas seguidores loucos volte migalhas lembra nobre senador enquanto cevava seguidores migalhas bastidores generoso pobres milionarios bolsa bilhao sente volta desse ser corrupto", neutro
"leis protetoras bandidos senador olhe ocupar cargo alto pais condenado desonrar conhece historia politica brasil sabe perfeitamente pais organizado ser assim pais povo governam povo", neutro
"idalino sempre pensei dessa forma escreveu lula podia mudar forma significativa pais sempre presidentes ligados classes dominantes areas financeiras grandes empresarios banqueiros sempre puxaram palha lado deixando sempre bem clara eterna ganancia sempre entao veio lula acho unicos oriundos classe operaria porque mudou nada problema brasil funciona hoje diferente uruguai exemplo onde presidente apenas tentou dirigir pais final mandato mogica mesma forma entrou brasil ninguem mantem nessa politica suja roubar grande problema imagine quantos milhoes desgracado lula deve ter gasto manter cadeia nestes ultimos anos", neutro
"diga todos nordestinos burros assim viu pessoas preferencia politica uns querem lula outros bolsonaro queria volta monarquia parlamentaristas apenas", neutro
"brasil lugar corrupcao vem berco povo vota bandido troca bolsa miseria onde inversao valores tao grande ser hetero errado ser gay correto ser gay errado contrario escolhe faz independente onde pessoas dizem racismo piadas fala mal pessoas brancas onde cor rebaixa inteligencia ter cotas faculdades pra pessoas pele escura onde verdadeiro dono terra indio mendigar onde viver onde defende liberdade todos estado chamado fascista onde todos escravos estado acham libertos onde pagamos impostos pra bancar enriquecer representantes politicos pais pais hipocritas", neutro
"defesa gedel alega dinheiro apartamento tudo dinheiro venda televisao usada mae comprador venezuelano turista bahia conferir monte papel vao ficar sabendo bolivares moeda valendo pouco desvalorizada tudo valia menos reais", neutro
"senador absurdo pode corrupto presidente republica pode ser julgado corrupto permitir autorizacao sabe qdo vai nunca bandidos brasileiros obrigados zona ainda bem zona eleitoral votar furunfunfadopara dizer outra palavra respeito srkkkk", negativo
"sinto senador justamente congresso lotado reus condenados faz tudo manterse poder direito senhor achar digno ainda ser presidente pior nada feito judiciario rapidamente ser novo planalto levado imensa parcela escravos bolsas esmolas populistas dessa quadrilhab", neutro
"podea explicacao terminar somente conseguir intentos vez certeza bem nacao sim vinganca destilar todo veneno vileza agora escala tenebrosa outras forcas poderosas utilizou usou erradamente recebera novamente", neutro
"pode simples assim leis corporativistas senhores congressistas aprovam constantemente disse outras oportunidades voto presidente venha publico reclamar daquilo fizeram proteger hoje feitico viroy contra feiticeiro lugar mundo decente cara lula estaria preso faz tempo poderia fazer propaganda nivel nacional endeusando pilantra vida seguiria justa voces preferem aprovar fundo 5bi bancarem campanhas nao fir menis valor imoral", neutro
"nunca sabe nada respeito pessoas cercam reserva moral pais formula lula sempre mesma algum subalterno agiu conhecimento instituto leva nome onde todas melhorias nunca tratadas informadas maior beneficiario titular interessante", neutro
"brilhante senador alvaro dias porque srnao une jair messias bolsonaro coloca pais trilhos novamenteo senhor politico digno orgulho todossem manchas vida publica bolsonaro segue risca esperamos politico ter posicoes clarasdureza clareza teses defende principalmente corrupto assim senhor ficaria orgulhoso votar chapa alvarobolsonaro vice versa", neutro
"engana otarios idiotas pois mim criminoso condenado anos reclusao justica cadeia aqui terra apos morte devera queimar eternamente quintos infernos", neutro
"muda sabor receita mudar ingredientes mesmos ingredientes receita muda sabor portanto votar mesmos politicos colocar sempre mesmos ingredientes receita acorda brasil precisamos novos politicos pra novas leis votem nesses politicos apoiado", neutro
"presidente outra vez tudo fez infelizmente entrar sistema nojento existente brasil presidente brasil manda nada manda grandes empresarios atraves deputados senadores deputados senadores empresarios dao cartas bater frente sistema acaba caindo ultimo pois sistema nojento manda tudo grande diferenca lula ajudou classe media subir degrau vida nenhum outro presidente fez hoje perdendo todos direitos grandes empresarios dando risadas pois vao ter maos obras qualificadas salarios baixos etc enfim vamos ter empregos porem salario bom esquece", neutro
"mente criminosa doente desses facinoras devem voltar poder todos incriminam devem pra cadeia verdadeira constante inversao valores felizmente meia duzia pessoas fazem diferenca torco pra vagabundos cadeia breve", neutro
"vivemos pais onde presidente acusado todos pagadores proprinas presidente senado citado varias delacoes diversos deputados senadores respondendo inqueritos justica varios ministros acusados corrupcao esperar classe politica", neutro
"pedir bom censo petista mesma coisa acreditam alguem durante anos destruiu pais podem salvao fala mentirosa funcionou porque vai funcionar certo governaram durante anos destruiam pais importa", neutro
"legitimo representante pessoas importam ladrao corrupto mentiroso encantador burros tipo gente importa velho discurso socialista enganador", neutro
"verdade lula quer debochar justica brasileiraquer debochar daqueles chama coxinhasfala amorem conciliacaoem pacificacao populacao brasileiramas perde oportunidade sempre centro atencoes ofender desrespeitar concorda", neutro
"querer coisaa duvida pais dao jeitinho tudo receio contatos stf permitam prisao instancia livrarao prisao darao margem candidate", neutro
"questao justica pergunta pode pessoa irresponsavel diatruiu pais querer oucupar cargo outra vez lula presta vigiar casa empresa colocar cuidar administrar casa empresa vai roubar vai aliar ladroes entregar chave empresa juntos roubara fez assim brasil fara outra vez", neutro
"sendo condenado justica ter praticado crimes muitos brasileiros apoia perguntolhe mal informados otarios criminosos vassalos capachos debeis mental acha", positivo
"tomarem atitude tempo bandido vai ser candidato sabe eleito pois agindo revogar prisao caso condenacao segunda instancia senador povo condicoes ser vitrine pode ser manifestar contrario", neutro
"historia mostra contradicoes exemplo povo escolheu barrabas hitler hoje seguidores collor maluf hugo chaves muitos hoje fanaticos seguidores inteligentes podem dormir tranquilo deixa lula ser candidato porque votos certeza ganha pra ninguem indice rejeicao maior todos", neutro
"cachaceiro vagabundo enganador trabalhadores serve pessoas humildes roubar roubar verme desaparecer inferno cara algum dia venha castigo divino imediatamente", neutro
"senador preciso ser cinico continuar afirmando tudo lava jato descoberto mentira operacao passa perseguicao politica desqualificar lava jato profissionais nela atuam tem sido argumento todos politicos corruptos cinismo marca desses pilantras", neutro
"colocou maioria cada fracao culpa votaram neles democracia assim ano vem chance mudar facamos parte", neutro
"senador conversa pra parecer investigacoes tentou varias vezes ser presidente nunca conseguiu ser clube bilhao patrocinou campanha lulinha paz amor pra poderem roubar vontade", neutro
"senador alvaro dias lula psicopata perigoso totalmente escrupulos mente descaradamente eleito nada trf regiao devera confirmar sentenca juiz sergio moro entao preso preso concorrer assim eleito porque seguidores fieis fanaticos devem ser uns eleitorado acordo pesquisas recentes quais acredito muitas aguas vao rolar acabou certezavamos colocar alguem honesto trabalhador competente presidencia republica", neutro
"nenhuma prova contra existe falacias especulacoes cara foda muitos adversarios politicos torcendo prisao pois sabem cara candidato forte assumir presidencia republica novamente pareos pra alvaro dias", neutro
"acha pais idiotas acima lei dinheiro roubou brasileiros compra tudo todos cabeca ainda lula artistas comunas globo simples assim", neutro
"verme perdeu totalmente nocao ridiculo pior tudo pessoas insanas votariam novamente presidente fim tempos defende bandido bandido", neutro
"pior pode haver pessoas sabendo tudo ainda pedem vagabundo volta absurdo onde cara bom presidente lixo presidente mentiroso ladrao safado", neutro
"nobre senador pra entender deveria ser proibido sai fazer campanha tudo errado ninguemmmm vendo bastante motivos cadeiaaaaaaaaaaaaaaaaaaaaa", neutro
"atitude desse doente autoritario arrogante passando humilde enganando menos esclarecidos verdadeiras intencoes jogou ninharias pobres enquanto distraiam assaltavam pais senhor politico integro bom presidente pais esperamos aprovem logo fim foro privilegiado todos", neutro
"querer ser candidato instintivo unica maneira livrar cadeia ganhando eleicao pois todos processos agora entendo pessoas esclarecidas ainda votarem nesse vigarista levei leigo assistir filme policia federal entendeu passando pais hoje quer saber lula agora esclarecido entende ainda diz tudo mentira ainda vota nesse safado", neutro
"quer nada feito relacao urnas eletronicas vez fraudadas eleicao passada voto papel marcando candidato escolhido contagem voto voto representante cada partido fiscalizando passado imprimir voto maquina suficiente qualquer adolescente entende informatica sabe programar urna voto impresso papel sistema armazenamento urna computado companheiros desejam", neutro
"vivemos pais onde politica terreno surreal onde atual ocupante palacio planalto interventor impossado estancar sangria desse sistema politico merece ser chamada qualquer coisa menos democracia", positivo
"pois etomara leve derrota lavadapois cobranca maior vai faltar fez povo trabalha sofridoespero sofra todas dores fez faz muitos passarem", neutro
"parabens srsenador alvaro diasquando tudo vai terminarquando irao pra cadeia todos envolvidosquando vamos parar passar vergonhaquando vamos parar pagar impostos pra cobrir roubalheira corruptosque deus abencoe sempre", neutro
"tal caneta presidencial cria certa imunidade varios poderes paralelos objetivo deste criminoso talvez unica forma morrer prisao", neutro
"justica devia ter afastado vida publica lula muitos outros praticaram atos ilicitos exemplo garotinho pessoas grande poder economico dinheiro publico desviado certo afastalos definitivamente", neutro
"senhor nocao lembrar presidente brasil raiva elegeu pessoas plena funcoes mentaisconsciente voltaria nele jamais", neutro
"sempre caro senador alvaro dias intuito dessa gente tentar enganar povo usar povo favor massa manobra incitar protestos violencia perturbacao", neutro
"seguindo linha luladrao afinal vice dilmanta eleito milhoes acreditaram nesta chapa esperar desta bandidagem vamos mudar", neutro
"poderia ter entrado historia presidente estadista progresso brasil prefiriu ser igual tudo atacava corrupcao elites", neutro
"brasil tornaria banana republica desmoralizado cantos mundo impensavel inadmissivel vamos respeitar todos ajudaram construir grande pais repeitem brasil", neutro
"facil responder duzia grande presidente americanos todo povo nacao lider merece nacao corrupta sempre vao escolher corruptos queiram mudar", neutro
"doi alma saber tantas pessoas acreditaram inclusive ser poderia representar mudanca pais melhor sujeito traiu toda nacao inves emprego renda deunos bolsa bolsa inves infraestrutura construi portos estradas pontes outros paises dinheiro inves investir educacao basica universidade todos cotas analfabetos funcionais quebrou petrobras roubou fundos pensao ludibriounos pre sal olimpiadas copa construcoes monumentais subutilizadas apodrecendo roubounos nao amanha sempre sob omanto salvador patria injusticado mim maos sujas sangue brasileiros morrem diariamente filas hospitais desenfreada violencia urbana mergulhamos ignorancia logicamente unico duvida roubou esperanca", neutro
"lei candidatura brasil vergonha fato sempre serviu ponte politicos corruptos safar verdade lei faz parte irreversivel industria injustica principal causa tragedias nacional", neutro
"faco pergunta sempre pergunto pode fazer campanha antecipada ninguem faz fala nada brasil", neutro
"problema querer ser presidente problema senador alvaro dias ter direito candidatar podemos aceitar possivel", positivo
"nunca jamais loucos tal insanidade todos corruptos politica brasileira povo havera esquecer tragedia", neutro
"pra ver qualidade classe politica hoje deputados saem cadeia vao camara qualidade ilustre classe politica melhor tudo ilustres acha tudo normal", neutro
"candidato sim pois conviccao vai receber votos sabe vai ter apoio povo resta rezar poucos quaze nada", neutro
"voto ninguem dia eleicoes vao todos passear vamos lucrar provar pra ladroes manda neles cadeia pra todos corruptos", neutro
"malandro quer poder foda caras vao voltar apoiar considero tipo pessoa brasileiro querem ganhar coisas trabalhar deus livre", neutro
"entendo eleitores deste srprecisam ver saber pra parar eleger criatura aprendizes corrupcaoja hora existir lei proiba bandido eleger", neutro
"pode estar soltoacho querer pode ate ser indiano suecoqueria saber pode estar fazendo campanha presidencia lei nao proibe", neutro
"brasil acontece velho ditado diz assim todo povo governante merece fica reflexao ahhh menos", neutro
"antigamente pesava pai burros dicionario aurelio dois mandatos lula dilma mudei concepcao", negativo
"problema querero problema lei permitiresse traidor deveria estar cadeia ainda", neutro
"brasil precisa ser passado limpo doa doer tanta corrupcao chega chega chegalula dilma temer aecio cunha cabral outros politicos corruptos pagar doa doer tanta corrupcao chega chega chega", neutro
"pior ainda senador pior ainda ser votados reflexo baixo poder analise povo cumplicidade corrupcao infelizmente", neutro
"senador favor facam lei possa acontecer fizerem lei agora impedindo absurdo desse ira valer pra proximo ano", neutro
"pra ver lambanca politica voces politicos fazer projetos rigorosos impecam outra stf pode acompanhar jogo corrupcao vai vem onde delator preso delatado comprovado fica defendendo impune livrebrasil", neutro
"alguem procurando escapar rigores justica faria tanta ginastica politica resultados praticos sabe antecipadamente", neutro
"brasil homem mulher informante dops outra guerrilheira presos ditadura analfabeto outra carregava fuzil ocuparam presidencia republicasenador neste pais incredulidade tanta duvido nada onde pais criminoso sentenciado depende segunda opiniao instancia superior mantido preso brasil pior ainda feito ser decisao corte suprema judiciaria pais precisa ainda comentar alguma coisa", neutro
"povo sabia lula tranqueira insistiu tanto povo resolveu oportunidade deu outra", positivo
"brasil mostra sus cara canalha estar atras grades brasil pais serio scontecido", neutro
"nunca enganem michel temer pode ter todos defeitos mundo crise passando reflexo governo sim anos desgoverno", neutro
"simplesmente acha culpa nada tudo conspiracao inverdades pergunto uns individuos delatando todos excecao algum momento cita nome deste homem envolvimento algo mentindo diz verdade ohh justica lenta continuaremos acreditando xadrez breve", neutro
"pergunta senador pergunta certa pergunta interessa respondida corretamente porque sujeito toda ficha ainda atras grades morto enterrado deu entender politicalha operadores estado brasileiro assessorados infestacao advogados lambuza pais enrolando todo mundo", neutro
"cuidado hora votar porque homem desse eleito vai gazer hugo thave fidel castro outros", neutro
"havia aposentado tentando unica chance passar proximis anos cadeia", neutro
"louco pra achar louco der diagnostico louco pra deixar louco livre pra curtir frutos roubos loucura nenhuma louco", negativo
"propaganda abuso deveria ser proibido falar reconstrucao ficou anos poder fazer asneiras", neutro
"pode esquecemos brasil passam cima constituicao esquecendo todos iguais perante lei", neutro
"sujeito antes parecia ser apenas ignorante egocentrico demonstrou alienado caso psicopatia grave", neutro
"pior ver criminoso nessa historia temer comparsas tao bandidos lula cumpanheiros", neutro
"simplesmente sabe pais povoado pessoas analfabetas politicas muitos mau carater apoiamse povo serio cogitariatristerealidade", neutro
"deveria estar casa gastando dinheiro ganhou trabalho trabalho quer poder ser vida piscar olhoo adianta", neutro
"poder todos podem vejam congresso estados municipios duro povo votar nelesou futuro triste brasil", neutro
"bebum elege nunca destino cadeia lugar pilantras coracao resistir cada hotel hospedava aqui nordeste exigido balao oxigenio apto conforme comentam camareiros medalha ouro denuncias corrupcao canalha", neutro
"quais juizes stf cobrou dilma acovardados talvez algum fechamento superior povao saibamos ainda ainda vamos aguardar escandalo", neutro
"parar punir politicos partidos deveriam ser impedidos ter candidatos porque mudam figurinhas jogo", neutro
"brasil brasil leis aprovadas congresso senhor faz parte cade projeto lei acabando excrescencia segunda instancia barrar condenacao primeira instancia eleito cometeu crimes durante mandato anteriores afaste cargo termino investigacoes mpf precisa ser totalmente independente apolitico indicacao executivo tanto mpf quanto pgr responsabilizados desmandos abusos autoridade haver perseguicao politica", neutro
"pode estar solto ainda sim pior andando brasil posando galo valente qdo maiaor ratazana dsse esgoto todo", neutro
"pra votar nesse bagre pinguco pessoa burra mal caraternao outra explicacao", neutro
"brasil aberracao gente atrasados imorais", neutro
"louco esperando festa pais vai fazer dia verme algemado deus quiser apodrecer insanidade jaula", neutro
"pode ser condenado anos prisao continuara solto stf passara dia cadeia pais solucao revolucao moldes francesa acabar privilegios parasitas estado base guilhotina", neutro
"pior querer ser presidente sim justica permitir entendo pode", neutro
"duas vertentes nobre senador poder judiciario refem deste mentecapto alcoolatra simplesmente incompetente julgar", neutro
"pessoa idiota arrogante pensa estar acima lei pau nele", neutro
"pois senador pode chefe organizacao corrupta querer candidatar", negativo
"pra ter foro privilegiado ser preso supremo nunca prendeu politico corrupto impunidade brasil chama stf", neutro
"tocou ainda kkk alem canalha salafrario megalomaniaco", neutro
"pior querer pior ter ainda apoieabsurdo", neutro
"doentes sim tao doentes cara pau falar mal temer sendo mesmos puxeram temer aonde gracas petistas", neutro
"dificil libertar tolos correntes veneram", neutro
"canalha cadeia agora 2 instancia porque moro mostrou macho", neutro
"psicopata assim quanto crimes comete desmascarado considera cada vez santo ansia poder cabeca doentia meia duzia bandidos comparsas burros ganha eleicoes pra pegar imunidade pra pra cadeia pagar crimes tentar transformar brasil venezuela maduro pra alguem opuser contra ser censurado preso morto", neutro
"creio ainda esperanca esfomeados nordestinos bolsa miseria garanta votos reeleicao", neutro
"simples quer imunidade pseudo democracia outorga ratos poder", neutro
"sinceramente entendo ladrao encantador burros", neutro
"maluco psicopata pensa desejos tresloucados", neutro
"acha dono brasil seguidores monte vagabundos comunistas querem viver trabalho completamente louco", neutro
"", neutro
"cada povo governante merece povo cuja maioria vive pobreza mal sabe ler escrever sabe votar pois raciocinam estomago mortadela tapioca neste contexto massa pobre manipulada ricos governantes desonestos compram votos saqueando cofres publicos tres poderes executivo legislativo judiciario constituidos pessoas escrupulos corruptos lesa patrias solucao sim enquanto cidadaos bem sonhandoo sabe surge dentre brasileiros patriotas sabe", neutro
"intervencao militar unica solucao retirar corruptos poder", neutro
"absurdoodeio qdo passa propaganda politica falando aparecendo lula falando tirou milhoes pessoas pobreza absurdo", neutro
"republica comandada quadrilhas candidatura lula estaria dentro contexto", negativo
"pode cara paga aluguel onde mora querer governar pais", neutro
"maior trambiqueiro pais ministro tudo preso esperando chefe quadrilha dilma ladra", neutro
"aqui brasil acontece revoltante ver lula continua solto gracas stf seletivo lento ineficiente", neutro
"pior tudo ver condenado estancia arrumarao habeas corpus preventivo suspensao stf livra cadeia", neutro
"fala verdade alvaro alvaro dias encontraram documentos triplex nome esposa falecida luladona marisaja sabe comprando eletrodomesticos moveis primeira linha nome triplexcomo diz triplex acha provas demais prende", neutro
"problema lula psicopata quer perder poder jeito nenhum problema deixa enganar papo furado desse sujeito", neutro
"elemento auta periculosidade jamais poderia ser candidato presidencia ser barrado", neutro
"pois inacreditavel ainda saber gente ainda vota sujeito desse", neutro
"gostaria entender aqui tudo aceita tudo paises serio estaria cadeia", neutro
"brasil mesmoa justica eleitoral pode aceitar candidato assim", neutro
"gente ainda apoia vagabundo deveria estar cadeia respondendo crimes", neutro
"brasil caro justica pobres justica deus vem certeza", neutro
"pode senador tentar aparecer perseguido politico lula sabe pode ser candidato vai ser preso", neutro
"palocci odebrecht confirmam dinheiro vivo mensal lula exclusivo mesada mil reais lula brasil antonio palocci revelou lava jato lula recebia departamento propinas odebrecht mesada mil reais repasses dinheiro vivo prosseguiram meados antonio palocci assessor branislav kontic realizavam pagamentos todos meses", neutro
"pode ser presidente alguem nunca soube nada nunca viu nada nunca participou nada assume publicamente incompetencia ignorancia", neutro
"melhor todos ruins pecado imagine outros", neutro
"pode ser presidente porque nenhuma prova material contra lula diferente brasilia", neutro
"pior querer pior ter brasileiro apaixonado politico importando toda corrupcao", neutro
"simples pessoa perseguido acho santo cego algo errado", neutro
"brasil tudo pode basta verificar maioria fazem leis proprios bandidos", neutro
"revolta ser nenhum tipo consciencia quer poder vinganca dinheiro nojo", neutro
"realmente absurdo assim absurdo ainda existirem politicos apoiem ideologia socialista apos tanta miseria genocidios provocados mundo", neutro
"pois senador existe algo absurdo outro absurdo ser considerado possibilidade muitos", neutro
"sobrecarregado processos atualmente ainda assumir outro desgraca pra pais", neutro
"querer direito agora compreendo alguem ainda pode votar pessoa desta gostar ser roubado", neutro
"candidatar pra perder feio urnas parar encher saco tanto bla bla ladrao mentiroso papudo", neutro
"ainda pessoas acham inocentepor favor", neutro
"ochente grande psicopata imbecil ladrao assaltante corrupto", neutro
"pode sim nessa merda vcs trabalham pode tudo senador colegas todos lama", neutro
"trump processos costas presidente eua tudo possivel mundo ignorantes", neutro
"acredita ignorancia povo elege bandido acostumado vida facil roubalheiras poder sabe grande chance pais tantos desafortunados etica perspectiva", positivo
"apoiss ainda teem vermelhos alienados encabrestados ferrenhos teimam nao acreditar rsrsr", neutro
"agora falta prisao quanto tempo cadeia sera vai ser regime fechado", neutro
"entendo ainda livre toda cambada delealguem explica favor", neutro
"pergunta errada pode alguem votar nesse sujeito sabendo tudo", negativo
"muita cara pau achando povo otario", neutro
"atual presidente medula acusado corrupcao formacao quadrilha serelepe ministros casa tbm embalo acusacoes margem pra beira mar sinta direito arriscar", neutro
"brasil leis funciona povo vota envolvido corrupcao", neutro
"tao sonhada terceira via contigo vou fazer campanha pra", neutro
"senadormesmo pais presidentes partidos reus vossa excelencia entra conselho etica senado pedindo mandato triste brasil", negativo
"pode bandido ser presidente pais pior tudo ser eleito proprio povo", neutro
"grande parte culpa merda virou pais proprio povo parte politicos stf", neutro
"aqui brasil bandidos vira presidente senador deputados etc problema brasil politicos sim povo", neutro
"pode ser desses tantos roubos nacao brasileira estar solto ainda", neutro
"faco mesma pergunta vou alem alguem pode votar ser denunciado condenado", neutro
"destruiu brasil agora quer voltar consertar ridiculo", neutro
"porque super ego acho acima bem mal resumindo louco", neutro
"foro privilegiado traduzindo protecao stf aparelhado governados bandidos", neutro
"nenhum salva veja demais concorreram todos mesma situacao reforma politica", neutro
"sofre alguma doenca ainda conhecida mundo cientifico", neutro
"porque doente mental psicopata roubo ppr poder veneno pra sociedade", neutro
"porque quen vota pessoa curriculo pode ser hiena faminta visa ter comer literalmente pior ferrando mexeu tubaroes", neutro
"aqui nesse pais senadortudo pode inversao valores nunca historia pais ladrao ainda continua solto", neutro
"poder colocou alturas agora consegue volta realidade", neutro
"pior cego quer enxergar realidade lula nunca", neutro
"pode ainda ter espaco propaganda politica pregar luladrao tirou milhoes extrema pobreza tipo propaganda deveria ser proibida considerando partido mascarado criado pra roubar povo", neutro
"somente cara pau alias congresso existem muitos", negativo
"deve achar acima lei tanto dinheiro que", neutro
"lei brasil resolvido corrupcaoum corja instalou brasiliapode contar dedos mao politicos eticos lutam povo", neutro
"sabe pode alvaro dias devido leis fracas pais aprovadas simples assim", neutro
"pior condenado quer pior deixa dizendo besteiras todos lados cadeia nele", neutro
"lulaladrao deveria estar cadeia quanta impunidade corrupto safado", positivo
"brasil governado canalhas pergunta deuses stf canalha", neutro
"mesma coisa homem delatado varias vezes lava jato ser presidente republica", neutro
"congresso sempre legisla causa propria sempre omissos desmandos governo", neutro
"candidato urnas eletronicas tah eleito 2turno urna eletronica nao voto", neutro
"pra fugir prisao continuar delituando pais lembrado historia republica bananas juiz sergio moro", neutro
"futuro presidente alvaro dias luiz inacio ladrao silva inelegivel", neutro
"confia nesse supremo ajudalo bem provavel", neutro
"tentando sobreviver livrar cadeia justica lerda politicos corruptos ladroes nacao brasileira", neutro
"duvido reu dirigir juiz federal plena audiencia fazer estupida pergunta luis fez ser tratado desrespeito desacato", neutro
"muita gente vive custas politica vai votar neste energumeno continuar mamando tetas governo corja ladroes corruptos queremos governo militar urgente", neutro
"ainda propaganda desse lixo enaltecendo feitos muita cara pau", neutro
"olhos senador alvaro dias kkkkk santo mundo", neutro
"querer ser presidente espanta homem escrupulos espanta ter eleitores", negativo
"entendo ser permitido reu condenado ficar fazendo campanha politica demais", neutro
"simples varios politicos corruptos eleitos reeleitos", neutro
"simples baita egocentrico safar cadeianao diploma nivel superior", neutro
"maior historia brasil pra pensar ser presidente brasil novamente", neutro
"lei permite horas mude fara grande favor nacao", neutro
"pode ser louco louco mentiroso cadeia chefe corrupcao", neutro
"certo concordo pergunta quer calar podemos ter presidente republica sujeito corrupto denunciado temer", neutro
"agora dei conta acovardando votar mtos anos deixa consciencia tranquila votar bando governo", neutro
"ganhar foro privilegiado garantir nunca vai ser preso continuar roubandopra simples assim pra mim", neutro
"faco pergunta tds dias pode cara nocao", neutro
"pior ser candidato presidencia republica pior havera gente votara nele comico tragico", neutro
"fernandinho beiramar pensa contratar lula acessor imagem", neutro
"verdade vejo hora ver todos cadeia quero justica brasileira deixando ser sega", neutro
"pior disto tudo ainda muitos eleitores burros bem hipnotizados", neutro
"vossa pessoa vai ser eleito presidente desputar cirio gomes nao decepcione nacao brasileira", neutro
"aqui brasil brasileiro leva levou tudo brincadeira continua fazendo propaganda eleitoral ajuda esquerda rede globo vai roubar votos", neutro
"coisa pingo vergonha cara lulanacadeia", neutro
"demonstra descontentamento politicos responsaveis administracao pais falta credibilidade proficionais corrupcao", neutro
"olha muita gente ainda acreditando nele votei nele solucao vez passou", neutro
"querkkkkkkeste canalhaate bom concorrer ver derrota historicacanalha ladrao", neutro
"senadorcomo pode homem partido achar povo tao ignorante assim mae anos fica indignada tamanha ofensa inteligenciaslula inaugurou escola mentira fez adeptos ilimitadosfico assustada exemplo mau caratismo fimque futuro prega jovens sera pais continuarem poder nao deixe lutar grata", neutro
"falta lei mostra constituicao fraca falhas serem reparadas", neutro
"tudo ainda continuar solto pouca vergonha justica brasileira", neutro
"senador ainda denunciado escondidos querendo sentar cadeira lado senhor falou matar kkkkkkkkkkkkk", neutro
"eis questao alguem resposta justifique desrespeito leis povo", neutro
"populacao carceraria deve preocupar disputada cadeia novo membro vai chegar", neutro
"alguem comentario disse nobre senador nobre senador fez fez professores governador estado palavra nobre vai chao agosto data professores esquecemos", neutro
"pode ser presidente darepublica pessoa persegue professores incita soldados cavalaria cima professores", neutro
"deixa perplexa ver tanto inbecil defende ladrao vagabundo pra mim iguais coisa valem nada", neutro
"acha dono brasil roubou deixou todos roubarem queria ser igual fidel", neutro
"mentiroso bons acredita nele burros fizeram custas", neutro
"sim pensando ser presidente quer foro privilegiado", neutro
"psicopata brasil ainda sonolento acordou direito", neutro
"pois cade justica desse pais vagabundo desse fica peitando justica desmoralizando povo brasileiro", neutro
"brasil onde voto cabresto domina muitas regioes nesse pais", neutro
"engracado aqui problema justica consegue emprego tao facilmente", neutro
"pior alguns casos povo sistema eleitoral deveria estar preso tempos", neutro
"nunca votei nesse excremento diabo jamais votarei sindico predio condenado", neutro
"acho pergunta pode algumas pessoas ainda darem credibilidade defender querer sujeito desses presidente", neutro
"nisto tongo ciro gomes razao lula pensa todo mundo idiota", neutro
"pois bem senhores barram moleque ladrao vai acabar destruir restou", neutro
"continua tentando sempre subestimar inteligencia povo acordou ainda memoria curta parte eleitoreira coisa passado sabi nada inucenti", neutro
"deveria presos cadeia temer chefe lula chefe dilma rousseff gilmar mendes lewandowski dias", neutro
"problema coligacoes partidos pensem forma republicana deveriam embora causa ainda outros governos governantes praticado governo dilma pensando unicamente poder aliados situacao elementos oposicao coligaram conspirardefenestrargolpearimpichar dilma poder juntamente encastelados grande problema substitutos acusados golpistas parecem corresponderemplacar expectativas cidadaos competentes honestos etc conduzir destinospoliticas estado brasileiro trilhos devidos eticaestabilidadejusticalegalidade etc infelizmente baixaram tanto nivel politica deixaram mato cachorro opcao votar coligacao menos ruim precisamoa encontrar saida forma tanta corrupcao ativapassiva comendo vivo", neutro
"alguem pode ser presidente denunciado comprando deputados rede nacional escancaradamente", neutro
"nesse pais tudo pode bem capaz ser eleito infelizmente", neutro
"resposta leis brandas aprovadas parlamentares", neutro
"falta vergonha cara senador carater sei algum dia", positivo
"populacao recuperar dinheiro publico roubado pais muitas despesas", neutro
"pior eleitor gosta votar politico denunciado judicialmente gostaria entender", neutro
"pessoa chamada lula omaior descepcao historia brasil", neutro
"concordo francamente atual presidente exercicio denunciado duas vezes", neutro
"entendo respondendo tantos processos porque roubou quer roubar alem imunidade vai garantir aconteca nada agora pior demora justica tantas provas consegue botar cadeia", negativo
"dificil defenda ainda muitos vao votar nesta desgraca", positivo
"vou alem sabendo tudo pessoas ainda querem votar nele", neutro
"muita cara pau luladrao ainda pensar querer ser presidente brasil", neutro
"tempo onde lixo tido luxo problema gramatica basica", neutro
"porque imbecil quanto pior carater vagabundo pra melhor dai preferencia voto fanatismo", neutro
"luladrao maior decepcao povo pais serio cadeia tempo", neutro
"espero senhor certo cadeia sair candidato ganha estourado sincero trabalho rua fico povo dia inteiro", neutro
"pode pode acordo leis existentes ainda mudaram depende infelizmente errada", neutro
"vergonha ser brasileiro ainda gente vota coisa dessas", neutro
"senador bandido moral menos vergonha cara", neutro
"ladrao galinhas evoluiu super ladravaz progresso negativokkk", neutro
"cara fala mal outro sempre algo esconder politico tudo lixo", neutro
"povo burro demais querer eleger traste desse lulaladraoseulugarenacadeia", neutro
"mesma forma senador presidente sensdo varios inqueritos supremo varios politicos delatados presidente duas denuncias lamentavelmente parece conselho etica duas casas congresso esuqeceram significado etica demais", positivo
